sid,freq,power
0.0,5.0,16.75057900928555
0.0,4.0,9.266470507488947
0.0,3.0,19.638722232992684
0.0,2.0,23.075247582598568
0.0,1.0,22.209690805640882
1.0,5.0,6.739009790605868
1.0,4.0,7.847916548832217
1.0,3.0,7.275602276186673
1.0,2.0,33.141285133533515
1.0,1.0,29.896959183772573
2.0,5.0,8.675836518613659
2.0,4.0,2.26241336985508
2.0,3.0,11.12359821088586
2.0,2.0,25.78537407481885
2.0,1.0,49.41976399974394
3.0,5.0,11.423884406879809
3.0,4.0,4.115111000777226
3.0,3.0,19.821319601827128
3.0,2.0,18.526467842472286
3.0,1.0,43.31175292396538
4.0,5.0,11.669335081158014
4.0,4.0,2.1391584612457604
4.0,3.0,13.800270562762384
4.0,2.0,10.319110153463393
4.0,1.0,39.18453829830276
5.0,5.0,10.151139317951841
5.0,4.0,5.71143435440627
5.0,3.0,12.285313178741898
5.0,2.0,26.717857108065594
5.0,1.0,19.82248871463334
6.0,5.0,3.3848482985037514
6.0,4.0,4.486649019580945
6.0,3.0,12.986167932455736
6.0,2.0,33.3288370810567
6.0,1.0,47.726730770820794
7.0,5.0,14.765964263140688
7.0,4.0,9.714627234937545
7.0,3.0,10.49640207454975
7.0,2.0,19.163584895977106
7.0,1.0,23.47216416597964
8.0,5.0,1.3765517090669173
8.0,4.0,11.25195486649831
8.0,3.0,5.599168825509931
8.0,2.0,15.481779383171906
8.0,1.0,24.32656173635407
9.0,5.0,0.9431687331602217
9.0,4.0,5.847387093855613
9.0,3.0,14.19548474581215
9.0,2.0,15.628306474485854
9.0,1.0,49.84365807382398
10.0,5.0,1.2362819642629017
10.0,4.0,14.30316290092668
10.0,3.0,11.893807546655852
10.0,2.0,22.683326088309478
10.0,1.0,29.202508495328285
11.0,5.0,15.190964683035592
11.0,4.0,3.960270419983786
11.0,3.0,15.025390263914074
11.0,2.0,19.955530284737343
11.0,1.0,36.67502951124162
12.0,5.0,12.460092340295152
12.0,4.0,2.203046053566171
12.0,3.0,8.306836438037953
12.0,2.0,17.301759050583144
12.0,1.0,40.4792512604742
13.0,5.0,28.39691246254237
13.0,4.0,9.965466072706604
13.0,3.0,9.99548747009073
13.0,2.0,27.468532754687132
13.0,1.0,32.5811524589914
14.0,5.0,12.916419998835378
14.0,4.0,8.623482533927142
14.0,3.0,4.181839714809726
14.0,2.0,11.89806463797172
14.0,1.0,13.893429355765205
15.0,5.0,9.366557662254309
15.0,4.0,3.9673175780767664
15.0,3.0,14.738764927009324
15.0,2.0,15.186189246526448
15.0,1.0,8.676184924788624
16.0,5.0,7.4858178376905995
16.0,4.0,9.545787394540874
16.0,3.0,3.9977330483446254
16.0,2.0,24.459594985484262
16.0,1.0,42.714403614501194
17.0,5.0,2.2875584459296636
17.0,4.0,5.065140752562055
17.0,3.0,5.742485520125226
17.0,2.0,19.288320885174137
17.0,1.0,56.96480580179801
18.0,5.0,9.583081952780637
18.0,4.0,2.676393719741995
18.0,3.0,9.551839242264576
18.0,2.0,11.150996058212252
18.0,1.0,42.81190744730354
19.0,5.0,3.9731229811883866
19.0,4.0,12.419746296452132
19.0,3.0,21.962854463588876
19.0,2.0,23.641071596317296
19.0,1.0,31.3775377274283
20.0,5.0,24.44257458336436
20.0,4.0,5.267933125824727
20.0,3.0,14.159260288581631
20.0,2.0,24.146723662829835
20.0,1.0,20.25832213519995
21.0,5.0,30.166301276273153
21.0,4.0,5.55684776989982
21.0,3.0,12.436911393544726
21.0,2.0,18.668005415583288
21.0,1.0,25.456114456957522
22.0,5.0,6.999533171476892
22.0,4.0,16.937165190114992
22.0,3.0,9.837321580031173
22.0,2.0,26.935441135904462
22.0,1.0,48.50489389326724
23.0,5.0,6.534317608594893
23.0,4.0,2.65632127272483
23.0,3.0,18.834133179627386
23.0,2.0,16.247640236206607
23.0,1.0,49.43190989541019
24.0,5.0,9.70077680617918
24.0,4.0,3.5824036639468178
24.0,3.0,8.905606797965923
24.0,2.0,17.014811887335576
24.0,1.0,20.41128004933656
25.0,5.0,4.225140994270089
25.0,4.0,11.38453649888363
25.0,3.0,27.70805245843395
25.0,2.0,19.72484474140439
25.0,1.0,42.17777526687638
26.0,5.0,3.657333099070917
26.0,4.0,8.379858308304767
26.0,3.0,24.629554787257984
26.0,2.0,25.158088850298576
26.0,1.0,46.24335886551169
27.0,5.0,56.207416164008194
27.0,4.0,4.893990992345904
27.0,3.0,17.493093441577898
27.0,2.0,17.934163559590658
27.0,1.0,19.15938556630237
28.0,5.0,22.3021234324317
28.0,4.0,5.349749984963964
28.0,3.0,8.63014493994023
28.0,2.0,29.93646992233919
28.0,1.0,36.11680011484828
29.0,5.0,14.57218221002551
29.0,4.0,0.919918106683717
29.0,3.0,8.914903972238694
29.0,2.0,20.675968864326364
29.0,1.0,24.093304699818475
30.0,5.0,2.2136811035982853
30.0,4.0,6.771349756817392
30.0,3.0,4.180841664552201
30.0,2.0,22.424202723358025
30.0,1.0,39.44334169372474
31.0,5.0,6.4946988356785145
31.0,4.0,2.750138316604735
31.0,3.0,9.146015255749255
31.0,2.0,30.82705512351292
31.0,1.0,39.60881066353192
32.0,5.0,16.359987989695636
32.0,4.0,3.525842611372148
32.0,3.0,10.653442118468938
32.0,2.0,17.950974129285008
32.0,1.0,36.09862862149785
33.0,5.0,7.841652714517705
33.0,4.0,15.500277373110979
33.0,3.0,14.259903128230382
33.0,2.0,16.35066665359451
33.0,1.0,28.840848313553092
34.0,5.0,14.64244184395675
34.0,4.0,3.1801669453950594
34.0,3.0,3.2093194994318766
34.0,2.0,20.93039035941318
34.0,1.0,25.67016451947125
35.0,5.0,10.855714582740047
35.0,4.0,5.696695495276834
35.0,3.0,3.14023744231518
35.0,2.0,6.125031840015488
35.0,1.0,11.792889486026358
36.0,5.0,1.309209643673262
36.0,4.0,11.429850472641323
36.0,3.0,10.21709633846381
36.0,2.0,43.947245093704225
36.0,1.0,35.01512062244853
37.0,5.0,4.505366135986583
37.0,4.0,1.0595494104334482
37.0,3.0,11.503814829221046
37.0,2.0,13.133851435027072
37.0,1.0,16.852190247320937
38.0,5.0,5.350256866109347
38.0,4.0,2.0515563014831573
38.0,3.0,12.278557174163277
38.0,2.0,18.26526369580102
38.0,1.0,17.524036757040097
39.0,5.0,0.7950056524501394
39.0,4.0,2.5213680954022286
39.0,3.0,23.013052362255905
39.0,2.0,18.897908134245128
39.0,1.0,46.52803087512916
40.0,5.0,20.530340458323483
40.0,4.0,3.190222117354221
